characters,fa_length,fa_list
K05786,11,"['Burkholderiaceae', 'Campylobacter', 'Gammaproteobacteria', 'Micrococcales', 'Mycobacteriales', 'Staphylococcus', 'T02545', 'T04453', 'T04481', 'T06085', 'T08201']"
K00362,6,"['Burkholderiaceae', 'Gammaproteobacteria', 'T00447', 'T04721', 'T05201', 'T06794']"
K03782,4,"['Burkholderiales', 'T06085', 'T06554', 'T06794']"
K04759,16,"['Bacteroidales', 'Campylobacterales', 'Coriobacteriia', 'Corynebacterium', 'Eubacteriales', 'Staphylococcus', 'T00925', 'T00964', 'T01461', 'T01842', 'T02505', 'T03770', 'T04453', 'T05738', 'T06584', 'T08201']"
K01006,10,"['Bacteroidales', 'Coriobacteriia', 'Eubacteriales', 'Staphylococcus', 'T00398', 'T00964', 'T01461', 'T02545', 'T04453', 'T06085']"
K09791,6,"['Mycobacteriales', 'Pseudomonadota', 'T00447', 'T02545', 'T05201', 'T08201']"
K06916,5,"['Micrococcales', 'Pseudomonadota', 'T02545', 'T06794', 'T08201']"
K03169,14,"['Bacteroidales', 'Burkholderiales', 'Eubacteriales', 'Gammaproteobacteria', 'Staphylococcus', 'T00577', 'T00964', 'T00984', 'T01461', 'T03496', 'T04453', 'T05201', 'T06584', 'T08201']"
K00651,8,"['Bacteroides', 'Bifidobacterium', 'Coriobacteriia', 'Eubacteriales', 'T00964', 'T01461', 'T03770', 'T06085']"
K09157,8,"['Bifidobacterium', 'Coriobacteriia', 'Corynebacterium', 'Eubacteriales', 'T00964', 'T01461', 'T04115', 'T04453']"
K07390,1,['Pseudomonadota']
K01061,6,"['Burkholderiales', 'Micrococcaceae', 'T02545', 'T04115', 'T06554', 'T06794']"
K03976,8,"['Actinomycetota', 'Bacillota', 'Bacteroides', 'Gammaproteobacteria', 'T00577', 'T01461', 'T02133', 'T04453']"
K00459,16,"['Burkholderiales', 'Campylobacterales', 'Dorea', 'Micrococcales', 'Mycobacteriales', 'Staphylococcus', 'T00122', 'T02133', 'T02545', 'T04453', 'T05095', 'T06085', 'T06554', 'T06584', 'T06719', 'T07941']"
K00390,9,"['Micrococcaceae', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T01461', 'T02133', 'T02545', 'T04453', 'T08069']"
K01637,6,"['Burkholderiales', 'Gammaproteobacteria', 'Micrococcales', 'T02545', 'T06794', 'T07354']"
K00568,1,['Pseudomonadota']
K03644,6,"['Bacteroidales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545']"
K09001,4,"['Pseudomonadota', 'T04182', 'T04222', 'T06523']"
K07166,8,"['Bifidobacterium', 'Coriobacteriia', 'Corynebacterium', 'Eubacteriales', 'T00964', 'T01461', 'T04115', 'T04453']"
K00990,5,"['Bifidobacterium', 'Pseudomonadota', 'T02545', 'T06794', 'T07267']"
K00163,4,"['Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K06929,7,"['Comamonadaceae', 'T00447', 'T00925', 'T02545', 'T05201', 'T05843', 'T06085']"
K00457,2,"['Pseudomonadota', 'T02545']"
K06193,8,"['Gammaproteobacteria', 'T00398', 'T04021', 'T04481', 'T05201', 'T06085', 'T06523', 'T06584']"
K02116,6,"['Pseudomonadota', 'Staphylococcus', 'T00701', 'T02545', 'T06584', 'T08201']"
K01029,7,"['Burkholderiales', 'Micrococcaceae', 'Mycobacteriales', 'T03970', 'T06085', 'T06554', 'T08780']"
K14162,6,"['Burkholderiales', 'Micrococcales', 'Mycobacteriales', 'T02545', 'T06085', 'T06554']"
K03752,10,"['Campylobacter', 'Pseudomonadota', 'Staphylococcus', 'T04453', 'T05143', 'T05843', 'T06584', 'T06794', 'T07267', 'T08201']"
K01595,10,"['Bifidobacterium', 'Coriobacteriia', 'Lactobacillus', 'Pseudomonadota', 'T00447', 'T02545', 'T05201', 'T06794', 'T07354', 'T08780']"
K08973,5,"['Burkholderiales', 'T00577', 'T06085', 'T06554', 'T08780']"
K03117,7,"['Campylobacterales', 'Micrococcaceae', 'Mycobacteriales', 'Pseudomonadota', 'T02545', 'T05143', 'T08201']"
K07139,7,"['Bacteroides', 'Lachnospiraceae', 'Staphylococcus', 'T00964', 'T01461', 'T02133', 'T06584']"
K00363,6,"['Burkholderiaceae', 'Gammaproteobacteria', 'T00447', 'T04721', 'T05201', 'T06794']"
K09773,7,"['Bacilli', 'Burkholderiales', 'Coriobacteriia', 'Gammaproteobacteria', 'T00447', 'T00964', 'T05201']"
K04041,10,"['Bacteroides', 'Coriobacteriia', 'Dorea', 'Staphylococcus', 'T00964', 'T01485', 'T04182', 'T05095', 'T06584', 'T06719']"
K01640,6,"['Pseudomonadota', 'T00447', 'T02545', 'T04182', 'T04453', 'T06794']"
K00940,11,"['Campylobacterales', 'Coriobacteriia', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T00122', 'T01461', 'T02545', 'T07941', 'T08201']"
K03613,12,"['Bacteroidales', 'Dorea', 'T00964', 'T00984', 'T01461', 'T03770', 'T04182', 'T04453', 'T05095', 'T06584', 'T06719', 'T08201']"
K02303,5,"['Pseudomonadota', 'Staphylococcus', 'T00447', 'T05201', 'T07267']"
K00241,8,"['Bacteroidales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'Staphylococcus', 'T02545', 'T06719', 'T08201']"
K02415,7,"['Burkholderiaceae', 'Gammaproteobacteria', 'T01461', 'T04721', 'T06085', 'T08201', 'T08780']"
K04755,3,"['Pseudomonadota', 'T00701', 'T06719']"
K00275,5,"['Bacteroides', 'Pseudomonadota', 'T01485', 'T02545', 'T06794']"
K07516,2,"['Burkholderiales', 'T06085']"
K00019,8,"['Burkholderiales', 'Micrococcaceae', 'T02545', 'T03970', 'T06085', 'T06554', 'T06794', 'T08780']"
K09767,7,"['Burkholderiales', 'Coriobacteriia', 'Gammaproteobacteria', 'Micrococcales', 'T02545', 'T06794', 'T08201']"
K02535,4,"['Campylobacterales', 'Pseudomonadota', 'T04453', 'T08201']"
K03801,5,"['Bacteroidales', 'Micrococcales', 'Mycobacteriales', 'Pseudomonadota', 'T02545']"
K00705,12,"['Bacteroidales', 'Bifidobacterium', 'Burkholderiales', 'Eubacteriales', 'Gammaproteobacteria', 'Mycobacteriales', 'T00701', 'T00964', 'T01461', 'T02545', 'T04453', 'T05143']"
K03089,1,['Pseudomonadota']
K11473,4,"['Burkholderiales', 'Campylobacter', 'T06085', 'T06554']"
K09780,6,"['Micrococcaceae', 'T00398', 'T02545', 'T06085', 'T06554', 'T07267']"
K02427,3,"['Pseudomonadota', 'T01461', 'T08201']"
K02446,6,"['Micrococcales', 'Mycobacteriales', 'T02545', 'T03770', 'T04453', 'T06584']"
K04764,2,"['Pseudomonadota', 'T08201']"
K05788,3,"['Pseudomonadota', 'T05201', 'T08201']"
K06871,7,"['Lachnospiraceae', 'T00964', 'T01461', 'T02545', 'T06085', 'T06523', 'T06584']"
K03666,3,"['Pseudomonadota', 'Staphylococcus', 'T04182']"
K02394,3,"['Pseudomonadota', 'T08201', 'T08780']"
K03340,8,"['Bacteroides', 'Dorea', 'T00984', 'T01485', 'T05095', 'T06719', 'T07354', 'T08201']"
K00641,11,"['Burkholderiales', 'Campylobacter', 'Micrococcales', 'Mycobacteriales', 'Staphylococcus', 'T02133', 'T02545', 'T04182', 'T04453', 'T06554', 'T08201']"
