a,b,weight
Pseudomonadota,T06719,3
Staphylococcus,T04182,3
Staphylococcus,T04453,14
Staphylococcus,T06584,9
Staphylococcus,T06719,3
T02545,T04182,6
T02545,T06584,9
T02545,T06719,3
T04182,T04453,5
T04182,T06584,2
T04182,T08201,3
T04453,T06584,20
T04453,T06719,5
T04453,T08201,27
T06584,T06719,6
T06584,T08201,15
T06719,T08201,5
Micrococcales,T06794,9
Micrococcales,T07267,1
Bacillota,Campylobacterales,3
Bacillota,Staphylococcus,4
Bacillota,T08201,6
Bacteroidales,Campylobacterales,5
Bacteroidales,Staphylococcus,10
Bacteroidales,T04481,1
Bacteroidales,T08201,16
Bifidobacterium,Campylobacterales,1
Bifidobacterium,T08201,3
Campylobacterales,Coriobacteriia,3
Campylobacterales,T01461,13
Campylobacterales,T03770,1
Coriobacteriia,Staphylococcus,5
Coriobacteriia,T08201,9
Staphylococcus,T01461,10
Staphylococcus,T03770,1
Staphylococcus,T04481,1
T01461,T04481,1
T01461,T08201,25
T03770,T08201,5
T04481,T08201,2
Actinomycetota,Bacilli,2
Actinomycetota,Burkholderiales,2
Actinomycetota,Campylobacterales,6
Actinomycetota,T01461,4
Actinomycetota,T06554,1
Actinomycetota,T06584,5
Actinomycetota,T08201,8
Bacilli,Burkholderiales,4
Bacilli,Campylobacterales,3
Bacilli,T01461,3
Bacilli,T06085,2
Bacilli,T06554,4
Bacilli,T06584,3
Bacilli,T08201,5
Burkholderiales,Campylobacterales,4
Burkholderiales,T01461,5
Burkholderiales,T06584,5
Burkholderiales,T08201,6
Campylobacterales,T06085,4
Campylobacterales,T06554,2
T01461,T06085,8
T01461,T06554,3
T01461,T06584,15
T06085,T06584,5
T06085,T08201,4
T06554,T06584,4
T06554,T08201,6
Actinomycetes,T02133,1
Actinomycetes,T06584,3
Bacilli,T00447,1
Bacilli,T05201,1
Burkholderiales,T00447,4
Burkholderiales,T02133,3
Burkholderiales,T05201,5
Burkholderiales,T05843,5
T00447,T02133,1
T00447,T06085,4
T00447,T06554,1
T00447,T06584,1
T02133,T05201,1
T02133,T05843,2
T02133,T06085,3
T02133,T06554,4
T02133,T06584,6
T05201,T06554,1
T05201,T06584,2
T05843,T06085,3
T05843,T06554,1
T05843,T06584,3
Bacteroidales,Eubacteriales,11
Bacteroidales,T00964,7
Bacteroidales,T06584,8
Bifidobacterium,Eubacteriales,6
Bifidobacterium,T00964,7
Bifidobacterium,T06584,4
Coriobacteriia,Eubacteriales,9
Coriobacteriia,T00964,11
Coriobacteriia,T06584,7
Eubacteriales,T00398,3
Eubacteriales,T00964,14
Eubacteriales,T01461,16
Eubacteriales,T04453,11
Eubacteriales,T06584,10
Eubacteriales,T08201,9
T00398,T00964,3
T00398,T04453,4
T00398,T06584,4
T00398,T08201,1
T00964,T01461,17
T00964,T04453,14
T00964,T06584,12
T00964,T08201,11
Actinomycetota,Pseudomonadota,5
Actinomycetota,T00964,1
Actinomycetota,T04453,6
Actinomycetota,T07941,1
Campylobacterales,T00964,2
Campylobacterales,T07941,2
Pseudomonadota,T00964,3
Pseudomonadota,T01461,12
Pseudomonadota,T07941,2
T01461,T07941,2
T04453,T07941,1
T06584,T07941,1
T07941,T08201,1
Bacilli,Pseudomonadota,2
Burkholderiales,Gammaproteobacteria,7
Burkholderiales,T04182,2
Gammaproteobacteria,T00447,3
Gammaproteobacteria,T02545,6
Gammaproteobacteria,T05201,5
Gammaproteobacteria,T05843,2
Gammaproteobacteria,T06794,4
T00447,T04182,3
T04182,T05201,2
T04182,T05843,1
T04182,T06794,2
Micrococcales,T07354,2
Pseudomonadota,T07354,2
T02545,T07354,4
T06794,T07354,3
Actinomycetota,T00577,1
Bacteroidales,Corynebacterium,1
Bacteroidales,T00577,1
Corynebacterium,Eubacteriales,2
Corynebacterium,T01461,3
Corynebacterium,T08201,1
Eubacteriales,T00577,1
T00577,T01461,3
T00577,T08201,2
T08201,T08780,2
Campylobacterales,T02133,6
Mycobacteriales,T01461,6
Mycobacteriales,T02133,5
Mycobacteriales,T05843,1
T01461,T02133,8
T01461,T05843,3
T02133,T02545,6
T02133,T08201,5
T05843,T08201,2
T01461,T04721,1
T04721,T08201,1
Campylobacterales,T00701,1
Mycobacteriales,T00701,1
Mycobacteriales,T05201,1
Pseudomonadota,T00701,2
T00701,T01461,2
T00701,T02545,2
T00701,T04453,2
T00701,T05843,1
T00701,T08201,1
T04453,T05201,3
T04453,T05843,3
T05201,T08201,3
Bacteroidales,Dorea,2
Bacteroidales,T05143,1
Bacteroidales,T06719,3
Bifidobacterium,Lactobacillus,1
Bifidobacterium,T05143,2
Campylobacterales,Dorea,1
Campylobacterales,Lactobacillus,2
Campylobacterales,T05143,1
Dorea,Eubacteriales,3
Dorea,T01461,2
Dorea,T05143,1
Dorea,T06719,7
Dorea,T07943,1
Dorea,T08201,3
Eubacteriales,Lactobacillus,1
Eubacteriales,T05143,2
Eubacteriales,T06719,3
Lactobacillus,T01461,1
Lactobacillus,T05143,1
Lactobacillus,T08201,3
T01461,T05143,4
T01461,T06719,2
T01461,T07943,1
T05143,T06719,1
T05143,T07943,1
T05143,T08201,3
T06719,T07943,1
Actinomycetes,Campylobacterales,1
Actinomycetes,Pseudomonadota,8
Actinomycetes,T00122,2
Campylobacterales,T00122,2
Pseudomonadota,T00122,4
Pseudomonadota,T02133,5
T00122,T02133,1
Bacteroidales,T05095,1
Campylobacter,Eubacteriales,2
Campylobacter,T00964,1
Campylobacter,T06584,3
Campylobacter,T08201,5
